epoch,metric,value
1780505900,disk_pct,4
1780505900,mem_pct,30
1782145530,disk_pct,5
1782145530,mem_pct,30
1782158020,disk_pct,5
1782158020,mem_pct,32
1782229637,disk_pct,6
1782229637,mem_pct,21
1784063365,disk_pct,7
1784063365,mem_pct,35
1784067854,disk_pct,7
1784067854,mem_pct,31
1784076480,disk_pct,7
1784076480,mem_pct,35
1784080778,disk_pct,7
1784080778,mem_pct,37
1784087314,disk_pct,8
1784087314,mem_pct,42
1784105524,disk_pct,7
1784105524,mem_pct,50
1784112558,disk_pct,7
1784112558,mem_pct,51
1784177525,disk_pct,7
1784177525,mem_pct,13
1784188015,disk_pct,7
1784188015,mem_pct,43
1784195644,disk_pct,7
1784195644,mem_pct,42
1784198261,disk_pct,7
1784198261,mem_pct,43
1784203314,disk_pct,7
1784203314,mem_pct,43
1784215676,disk_pct,7
1784215676,mem_pct,42
1784248226,disk_pct,7
1784248226,mem_pct,32
1784263475,disk_pct,8
1784263475,mem_pct,31
1784273698,disk_pct,8
1784273698,mem_pct,32
1784294642,disk_pct,8
1784294642,mem_pct,34
1784304013,disk_pct,8
1784304013,mem_pct,31
1784347280,disk_pct,8
1784347280,mem_pct,38
1784351543,disk_pct,8
1784351543,mem_pct,37
1784356397,disk_pct,8
1784356397,mem_pct,26
1784367986,disk_pct,8
1784367986,mem_pct,31
1784371210,disk_pct,8
1784371210,mem_pct,31
1784381353,disk_pct,8
1784381353,mem_pct,34
1784402560,disk_pct,8
1784402560,mem_pct,37
1784451486,disk_pct,9
1784451486,mem_pct,37
1784454882,disk_pct,9
1784454882,mem_pct,36
1784466654,disk_pct,9
1784466654,mem_pct,38
1784662883,disk_pct,9
1784662883,mem_pct,49
1784670342,disk_pct,9
1784670342,mem_pct,47
1785113800,disk_pct,9
1785113800,mem_pct,13
